,Normal Epochs,Apnea Epochs
HR-Air,0.007369865244847636,0.0188772152084732
HR-Chest,0.006134677053162967,0.016172569220480916
HR-Abd,0.008250259228863448,0.021515406699758884
HR-Chin,0.001664906654049623,0.005291963012798868
HR-Leg,0.0032941582505025277,0.006384250589169473
HR-Eye1,-0.0011334585459070532,-0.002548881418486983
HR-Eye2,-0.001718684731738621,-0.00451349914281194
HR-FLd,-0.0007530739772608366,-0.0013652653797242315
HR-FLt,-0.001527172686956893,-0.00505086179401003
HR-FLa,-0.0006727981178022279,-0.001771966150831031
HR-FLs,-0.0005068235219318852,-0.0011844506199213407
HR-FLb,0.0015165327632944664,0.005016206563653909
HR-C3d,-0.0005782028435683259,-0.0011750881200899856
HR-C3t,-0.0009061831698002303,-0.0021471890702171033
HR-C3a,-0.000288123021691897,-0.0003287595548833738
HR-C3s,0.00043876229704803974,0.0015113469817498097
HR-C3b,-8.206160987564461e-05,-0.0001245020556647718
HR-O1d,0.00075075615016568,0.0021993172742567416
HR-O1t,0.00014009670230724741,0.00027987600675482367
HR-O1a,0.0016039658466111175,0.005707006200560016
HR-O1s,0.00018678705847782252,0.0008317781006054424
HR-O1b,0.002189035773953972,0.007933178389901742
HR-FRd,-0.0017364838538794273,-0.0036836639238374486
HR-FRt,-0.0018703758447811813,-0.0048301385074794
HR-FRa,0.0010226771906482518,0.003345682291566181
HR-FRs,-0.0014801418177245356,-0.003578326056633404
HR-FRb,0.00023191325019852874,0.0009714646698397396
HR-C4d,-0.0006702749991389335,-0.0013341560533151088
HR-C4t,0.00023375426043046815,0.0006677588546694189
HR-C4a,-0.00020244313886907646,-0.0005215828284077944
HR-C4s,0.0014222714356085,0.0040769356291584305
HR-C4b,0.0011377974232481894,0.0035715797378605306
HR-O2d,0.0014675755490994938,0.00432082998085494
HR-O2t,-0.0005666992668340173,-0.0017999079388529126
HR-O2a,0.0018901214489528146,0.007081052872318682
HR-O2s,0.0007579164846544725,0.0025825533025654076
HR-O2b,0.002597633320736535,0.009534767687282394
Air-Chest,-0.0043662867297502754,-0.0020347405782331343
Air-Abd,-0.0020864248030038187,-0.0015273903781000318
Air-Chin,0.008014759934760462,0.021426249586743003
Air-Leg,0.007578369386451268,0.01736452771723595
Air-Eye1,0.010058282992568637,0.02267832277227312
Air-Eye2,0.009139849321033379,0.01916434823093069
Air-FLd,0.009300124217019555,0.019865421927575837
Air-FLt,0.008309123069571123,0.013444781416259603
Air-FLa,0.0074481654452860065,0.021064182352804453
Air-FLs,0.007217323023300452,0.02042086462053953
Air-FLb,0.008197305058377624,0.023291061584356884
Air-C3d,0.01094326721884383,0.01698613772568758
Air-C3t,0.0082301943295644,0.011948599129709348
Air-C3a,0.007473900924245156,0.021847818268180646
Air-C3s,0.004279351303572448,0.010732722232371365
Air-C3b,0.007475349290015902,0.02006712238593681
Air-O1d,0.006896903415696265,0.019545881050791084
Air-O1t,0.0049467972613862245,0.00937425896860514
Air-O1a,0.004654321424011598,0.012654256084583575
Air-O1s,0.0027675945375801405,0.010968822467807863
Air-O1b,0.003918738804388279,0.012730522945057676
Air-FRd,0.009914287183906492,0.02025128371942684
Air-FRt,0.00957039872814203,0.01547177778431921
Air-FRa,0.007424317011892344,0.024673357711918118
Air-FRs,0.005011118157529399,0.01580728439559828
Air-FRb,0.007152710982401671,0.01501144869556277
Air-C4d,0.006830586841326823,0.008630668391412669
Air-C4t,0.006588582331029302,0.008553529931636534
Air-C4a,0.008169900562849945,0.017840169053938083
Air-C4s,0.004919483003768692,0.013133667368657898
Air-C4b,0.004967815610380252,0.010816694936753005
Air-O2d,0.007313074425980661,0.015070651815508929
Air-O2t,0.0029460099508865677,0.007521939462309909
Air-O2a,0.0042495872813047685,0.011892311914463946
Air-O2s,0.002571615641977775,0.010906025117342488
Air-O2b,0.005165524123665079,0.01613935365565266
Chest-Abd,-0.004232204439779853,-0.004059407289379921
Chest-Chin,0.0055690735542481065,0.01461624081261236
Chest-Leg,0.005158511885475383,0.013417063755750542
Chest-Eye1,0.005012767266264961,0.01094310960067204
Chest-Eye2,0.005485150663595928,0.01258975852539232
Chest-FLd,0.0075857139716751995,0.018629549998017105
Chest-FLt,0.00509620708106928,0.015746856849205865
Chest-FLa,0.005929294282531599,0.01890123110333156
Chest-FLs,0.0052955127278558455,0.014528026451100485
Chest-FLb,0.004094073090910183,0.013299627905955892
Chest-C3d,0.00629902555992042,0.014713717915776428
Chest-C3t,0.0028580308824115606,0.008011039380874187
Chest-C3a,0.004304804660426593,0.016224859932028338
Chest-C3s,0.0039174661258861345,0.011755139399209783
Chest-C3b,0.0036726357951681666,0.016005363623786652
Chest-O1d,0.005156622195165895,0.015889312887732068
Chest-O1t,0.0024373872276277795,0.008077774804706755
Chest-O1a,0.00338285060224027,0.010755774632883072
Chest-O1s,0.002676996437094715,0.008458756823127966
Chest-O1b,0.002642787900684589,0.008255404108808786
Chest-FRd,0.007279595879126391,0.018164633143816396
Chest-FRt,0.0038904344243197372,0.01186790966150356
Chest-FRa,0.004335335294184163,0.013527951565117472
Chest-FRs,0.0027728830661035092,0.009059680149914167
Chest-FRb,0.0037196795468285504,0.008926293480978313
Chest-C4d,0.006644036256595457,0.013033405841577717
Chest-C4t,0.0033622008371052593,0.010075665321827632
Chest-C4a,0.0036691660806529155,0.01367624969415678
Chest-C4s,0.0033294800436725275,0.014390758875501102
Chest-C4b,0.0027601778435450584,0.008753073234230883
Chest-O2d,0.004447590894905084,0.014917534836133747
Chest-O2t,0.0022866897201936813,0.005446042522859835
Chest-O2a,0.0023629136617086656,0.007088667105507844
Chest-O2s,0.0030290089295330344,0.006301538419198838
Chest-O2b,0.002729385952103363,0.008465650569239529
Abd-Chin,0.009194835103783052,0.021294683830574042
Abd-Leg,0.004488307977940163,0.010812697928788
Abd-Eye1,0.0054378554307047315,0.01630786794998005
Abd-Eye2,0.004669878894026594,0.013964415662040283
Abd-FLd,0.00661599826053017,0.020346783144758008
Abd-FLt,0.005565163624595864,0.015465695016078095
Abd-FLa,0.006324016796579705,0.02165735439908471
Abd-FLs,0.008179081286262244,0.027136265213154504
Abd-FLb,0.00664235934767813,0.023173175499063028
Abd-C3d,0.007159265846399555,0.01688019212542507
Abd-C3t,0.004923728114042141,0.014101365184259695
Abd-C3a,0.0055450128194727225,0.013920545793457178
Abd-C3s,0.004702210674083268,0.015675222214367412
Abd-C3b,0.006307237854637854,0.01644372945574399
Abd-O1d,0.008104155017399032,0.023572243840914164
Abd-O1t,0.00273529793990119,0.01134668887954002
Abd-O1a,0.003909163311302232,0.010503461350523657
Abd-O1s,0.003821868693974546,0.014178288827825503
Abd-O1b,0.005705257169615402,0.017698066119324844
Abd-FRd,0.0076996412336329395,0.017914828137333583
Abd-FRt,0.006270389587282531,0.015649178104467254
Abd-FRa,0.006882047457369396,0.02150301397995006
Abd-FRs,0.006926259755192951,0.02261867155446169
Abd-FRb,0.004784671586988943,0.010904770348038295
Abd-C4d,0.006843079297703958,0.01605819250756505
Abd-C4t,0.006771623003865843,0.013897058165182774
Abd-C4a,0.007542190318954717,0.021040641090766348
Abd-C4s,0.0057136666624962446,0.023006267593042654
Abd-C4b,0.005380375693873671,0.014935457187063003
Abd-O2d,0.006761224811268067,0.021908257473844943
Abd-O2t,0.002318313757747536,0.008431766779556517
Abd-O2a,0.00412780817270207,0.012166317169869512
Abd-O2s,0.0027968866245870736,0.012473629351234444
Abd-O2b,0.003968849668602446,0.01150142411017624
Chin-Leg,0.0028033335075745573,0.0072059642300047935
Chin-Eye1,0.0025359947221906876,0.006214858606088882
Chin-Eye2,0.0008288517691399496,0.0026175025623031848
Chin-FLd,0.004528579144581659,0.011552184927667046
Chin-FLt,0.0019365886937028419,0.005512457266088816
Chin-FLa,0.00436587223992502,0.011376293124361548
Chin-FLs,0.0033167298140702197,0.0075349015909595045
Chin-FLb,0.007722950339388429,0.018395281744978224
Chin-C3d,0.005088771820426344,0.012423861582115439
Chin-C3t,0.0010988209264114646,0.0022058466745726335
Chin-C3a,0.004608668694768022,0.015437537330564485
Chin-C3s,0.005397344506892093,0.014355678656078192
Chin-C3b,0.006324948957297816,0.01843706761744677
Chin-O1d,0.005217525701388954,0.014234186072516941
Chin-O1t,0.0010328020242760816,0.0029977337260112475
Chin-O1a,0.003407147087247558,0.009859043493148447
Chin-O1s,0.004307888618948475,0.012514670705146414
Chin-O1b,0.004629568244879858,0.01116692396788824
Chin-FRd,0.004379462667587239,0.01325565142969486
Chin-FRt,0.0018529522739742222,0.005360663699655638
Chin-FRa,0.0014381858977276995,0.004804417553815427
Chin-FRs,0.0023856581989765285,0.006445771097639806
Chin-FRb,0.004677800690560071,0.01336329296381441
Chin-C4d,0.005711911394100384,0.013074708860688258
Chin-C4t,0.0004076995885747498,0.0012538346500648658
Chin-C4a,0.0030687785537278885,0.01007597404107902
Chin-C4s,0.004127949592111447,0.0099929897520779
Chin-C4b,0.005228782456424957,0.013536555403462444
Chin-O2d,0.005697526263808743,0.015197714621836106
Chin-O2t,0.001441249403195823,0.004595894479109729
Chin-O2a,0.003576093316888312,0.011515890695439884
Chin-O2s,0.006609760601594237,0.01650862034183759
Chin-O2b,0.009876402675678842,0.024289454147519967
Leg-Eye1,-0.003391296860241674,-0.006204142385003239
Leg-Eye2,0.0008717433662536842,0.0018620635316810956
Leg-FLd,0.0015572380835177338,0.003106763296101974
Leg-FLt,0.002906074483036065,0.008841605309815342
Leg-FLa,0.0042909872150933915,0.012284580923607607
Leg-FLs,0.004380811320848548,0.01019619147829463
Leg-FLb,0.004535128406144036,0.012918731568243405
Leg-C3d,0.00016165673564119695,0.00033838950541027876
Leg-C3t,0.002186381664787939,0.004417508031587939
Leg-C3a,0.0034746922177316896,0.01101598895650973
Leg-C3s,0.0036611977478005465,0.011777770078106698
Leg-C3b,0.006602490725363995,0.014463150037451144
Leg-O1d,0.0038402125131852573,0.006613805033668443
Leg-O1t,0.0016086443792592445,0.003562193096426533
Leg-O1a,0.0038684001046976604,0.011563664988331158
Leg-O1s,0.0046546273974074365,0.009316818801563365
Leg-O1b,0.007040713086972234,0.013265412965260084
Leg-FRd,0.002189477558722755,0.005381302264966451
Leg-FRt,0.0028185970117234212,0.00778382381330685
Leg-FRa,0.004856730295449364,0.013163818593393384
Leg-FRs,0.0040006128119110165,0.011307780763186798
Leg-FRb,0.0070866405671165065,0.012721821123025754
Leg-C4d,0.002541206010334448,0.005886997518119185
Leg-C4t,0.0022795752911586083,0.0060171963759631155
Leg-C4a,0.006052884638053968,0.015581453495083797
Leg-C4s,0.0025156909614851273,0.008350425902576192
Leg-C4b,0.0070122774672088965,0.01929978925946952
Leg-O2d,0.004595094554451377,0.00799019528736549
Leg-O2t,0.002174613370495203,0.006700280536682673
Leg-O2a,0.004496583844661011,0.016622532764606
Leg-O2s,0.0032912690216165643,0.010519286256640049
Leg-O2b,0.003029988200809292,0.008191758380773384
Eye1-Eye2,-0.0011921859079390483,-0.0013566492262303306
Eye1-FLd,-0.006055971728652878,-0.0048304861390642785
Eye1-FLt,-0.0038087273262718824,-0.0038763730631346596
Eye1-FLa,-0.0042451691183851776,-0.0054995855979683645
Eye1-FLs,-0.003695280328660845,-0.004908745757782362
Eye1-FLb,-0.000192193867846959,-0.00046963499938597087
Eye1-C3d,-0.004710983957897113,-0.004314290211458431
Eye1-C3t,-0.006383531575033592,-0.00751993684231631
Eye1-C3a,-0.005072120421946087,-0.007450096777143063
Eye1-C3s,-0.0018936692454021298,-0.0033688534557417445
Eye1-C3b,-0.001055620808588247,-0.0015330891037871439
Eye1-O1d,-0.004128755358360639,-0.0042298223057843694
